price_actual,total_renewable_energy
50.7,11958
47.2,11714
47.45,11613
54.83,11928
72.42,13202
76.27,13753
73.38,13813
61.86,13636
59.43,12385
61.23,10903
57.06,9598
53.59,9561
51.98,9148
52.69,8714
55.44,8284
60.39,8400
65.49,10159
76.03,11829
77.49,13102
76.69,14435
74.13,15009
73.72,14777
68.02,14032
66.29,13234
64.93,12713
64.64,12240
67.17,11678
80.91,11594
85,12772
82.74,13247
79.63,13086
65.96,12276
61.06,10497
57.05,10379
54.16,10098
52.46,10790
50.48,10335
50.15,9964
52.06,10340
54.9,10241
56.73,11641
61.96,13489
63.72,15048
62.29,15985
59.25,15833
57.52,15691
57.86,15290
55.9,14270
53.91,13448
56.32,13234
58.05,13496
61.06,15290
71.82,16178
70.28,16297
66.58,15937
58.92,13913
55.5,13054
53.39,12553
49.77,12050
47.89,11658
46.52,11427
45.94,11571
47.49,11375
53.19,12124
57.55,12890
64.05,14346
66.26,14510
63.86,15234
63.55,16031
63.2,16276
62.74,16162
61.29,15363
59.38,15255
59.23,14885
60.23,14700
63.03,15769
68.56,15815
68.37,16373
65.92,15111
59.25,14051
55.51,12923
46.48,12883
42.35,12722
41.4,12310
40.08,12220
39.86,12422
41.27,12367
47.13,12268
50.76,12786
55.32,14311
57.91,15169
57.87,16390
56.25,16931
56.42,17045
55.72,17209
54.04,16980
49.36,16413
47.32,16117
51.7,15915
55.04,16502
58.82,17745
63.02,17983
59.4,17674
52.85,17003
52.88,14858
45.1,15137
37.89,15833
36.79,16380
35.83,16704
35.33,16857
36.48,17454
41.59,17970
52.86,18278
56.91,17927
58.35,18434
57.63,19613
53.81,19864
53.18,20157
53.67,19494
54.26,18257
54.14,18004
54.7,17669
54.67,17408
57.18,18537
61.02,19113
64.27,19772
60.94,18643
57.21,16975
57.21,15439
55,13036
53.86,12542
48.27,12394
45.31,12499
44.42,12628
44.86,12668
49.04,12322
50.69,12358
54.32,12394
55.34,13342
55.61,15025
55.62,15798
55.87,16299
55.83,16718
54.94,16021
51.83,15793
52.39,14537
55.45,14411
57.74,15039
62.51,15774
66.13,16340
63.13,16179
58.26,15649
55.81,14616
54.44,12885
49.61,12202
44.55,12409
43.29,12577
42.3,12849
42.64,13226
42.95,13619
42.77,13479
44.67,14219
47.91,14690
54.87,14655
55.45,14217
55.77,14219
55.84,14476
55.68,13946
52.52,14142
52.47,13777
48.75,13472
54.78,13388
